Name,Age,Info
A. J. Langguth,81,American historian and journalist
A. P. Venkateswaran,84,"Indian diplomat, Foreign Secretary (1986–1987)"
A. W. Davis,71,American basketball player (University of Tennessee) and coach
A. W. Pryor,86,Australian physicist
Aarno Raninen,70,"Finnish actor, composer and musician, house fire"
Abdel Rahman Zuabi,82,Israeli judge
Abdelmajid Lakhal,74,Tunisian theatre director and actor
Abu Al-Izz Al-Hariri,68,Egyptian politician
Abu Yusuf Al-Turki,47,"Turkish terrorist, commander of al-Nusra Front, air strike. (death reported on this date)"
Ahmed Abdi Godane,37,"Somali militant, Emir of al-Shabaab (2009–2010, since 2011), airstrike"
Ailo Gaup,70,Norwegian Sami author
Al Suomi,100,American professional hockey player (Chicago Blackhawks)
Alastair Reid,88,Scottish poet and scholar
Alaviyya Babayeva,93,"Azerbaijani writer and translator, People's Artist of the Azerbaijani SSR"
Alexey Chervonenkis,76,Russian mathematician (Vapnik–Chervonenkis theory)
Alexis Sarei,80,"Papua New Guinean politician and diplomat, Premier of North Solomons Province (1976–1980, 1984–1987)"
Alf Ivar Samuelsen,72,"Norwegian politician, tractor crash"
Alfred Prinz,84,Austrian composer and clarinetist
Ali Yahya,66,Israeli diplomat
Anahita Ratebzad,82,Afghan politician and diplomat
Anandji Dossa,98,Indian cricket statistician
Anatoly Berezovoy,72,Soviet cosmonaut (Soyuz T-5)
Anatoly Eiramdzhan,77,Russian-Armenian film director
Andreas Fransson,31,"Swedish extreme skier, avalanche"
Andriy Husin,41,"Ukrainian football player (Dynamo Kyiv, Krylia Sovetov, national team) and coach, traffic collision"
André Bergeron,92,French trade union leader
André Dran,90,French singer
Andy DePaul,85,American boxer
Andy Stapp,70,"American political activist, founded the American Servicemen's Union"
Angelo Arrigoni,91,Italian rugby union and professional rugby league footballer
Angus Lennie,84,"Scottish actor (The Great Escape, Crossroads, Doctor Who)"
Anna Morpurgo Davies,77,Italian-born British philologist
Antoine Duhamel,89,French composer and conductor
Antonis Vardis,66,"Greek composer and singer, cancer"
Antony Kidman,75,"Australian psychologist and academic, heart attack"
Antonín Tučapský,86,Czech-born British composer
Antti Lovag,94,Hungarian architect
António Garrido,81,Portuguese football referee
Anwar Ali Noon,90,Pakistani politician
Arne Amundsen,62,Norwegian footballer (Lillestrøm SK)
Arnold Fine,90,American editor (The Jewish Press) and humor columnist
