Name,Age,Info
ABM Elias,71,Bangladesh army general
Abner Shimony,87,American physicist and philosopher
Achim Hill,80,"German rower, two-time Olympic silver medalist (1960, 1964)"
Adam Ward,27,"cameraman (WDBJ) and photojournalist, shot"
Adebowale Adefuye,68,"Nigerian diplomat, Ambassador to the United States (since 2010), heart attack"
Adolphe Nshimirimana,50,"Burundian general, Army chief of staff, rocket attack"
Agustín Cejas,70,"Argentine footballer (Racing Club), Alzheimer's disease"
Akira Tanno,89,Japanese photographer
Al Arbour,82,"Canadian ice hockey player (Chicago Blackhawks, St. Louis Blues) and Hall of Fame coach (New York Islanders)"
Albert Vërria,78,Albanian actor
Alf Schwarz,80,Canadian sociologist
Alfred Burrows,63,Indian cricketer
Ali Hassanein,76,"Egyptian actor, liver cancer"
Ali Tabatabaei,31,"Iranian actor, heart attack.[citation needed]"
Alison Parker,24,"reporter (WDBJ), shot"
Amado Pineda,77,"Filipino meteorologist, cardiac arrest"
Ambros Seelos,80,German musician and conductor
Amelia Boynton Robinson,104,"American civil rights activist, multiple strokes"
"American journalists killed as a result of the WDBJ shooting:
Vester Flanagan",41,"reporter (WTOC, WTWC, WDBJ) and gunman, suicide by gunshot.
Alison Parker, 24, reporter (WDBJ), shot.
Adam Ward, 27, cameraman (WDBJ) and photojournalist, shot"
Ana Hatherly,86,Portuguese writer and artist
Andy Mapple,52,"British water skier, heart attack"
Anita Yeckel,72,"American politician, member of the Missouri Senate (1997–2005), heart disease"
Ann McGovern,85,"American author, cancer"
Anna Kashfi,80,Indian-born British actress
Anne Strieber,68,American author and editor
Annette Worsley-Taylor,71,British fashion promoter
Antonio Larreta,92,Uruguayan writer and actor
Antti Leppänen,67,"Finnish Olympic ice hockey player (1976), (Tappara)"
Arnold Scaasi,85,Canadian fashion designer
Arsen Dedić,77,Croatian singer
Art Finley,88,"American broadcaster, heart attack"
Arthur Dorward,90,Scottish rugby union player
Arthur Morris,93,Australian Test cricketer
Arthur Walter James,103,"British journalist, editor of the Times Educational Supplement (1952–1969)"
Arturo Macapagal,72,"Filipino Olympic shooter (1972, 1976), prostate cancer"
Asmund Ekern,85,Norwegian biologist
Astaire,4,"Irish-bred British-trained thoroughbred racehorse, colic"
Augusta Chiwy,94,"Congolese-born Belgian nurse, volunteer in the Siege of Bastogne"
Barbara Brecht-Schall,84,German actress
Bart Cummings,87,"Australian racehorse trainer, twelve-time winner of the Melbourne Cup"
Beata Brookes,84,"British politician, MEP for North Wales (1979–1989)"
Benton Becker,77,American lawyer
Bernard Rodrigues,82,"Singaporean politician, co-founder of PAP and NTUC, Member of Parliament for Telok Blangah (1965–1968)"
Bernard d'Espagnat,93,French theoretical physicist and philosopher of science
Bevo Nordmann,75,"American basketball player (Cincinnati Royals, St. Louis Hawks, New York Knicks), cancer"
Bhalchandra Pendharkar,93,Indian actor
Biff Liff,96,American theatrical agent
Bill Aswad,93,"American politician, member of the Vermont House of Representatives (1995–2012)"
Bill Kushner,84,American poet
Billy Sherrill,78,"American record producer (Tammy Wynette, George Jones, Charlie Rich)"
Blondell Cummings,70,American modern dancer and choreographer
Bob Farrell,87,"American restaurateur and motivational speaker, founder of Farrell's Ice Cream Parlour"
Bob Fillion,95,Canadian ice hockey player (Montreal Canadiens)
Bob Frankford,76,Canadian politician
Bob Johnston,83,"American record producer (Johnny Cash, Bob Dylan, Leonard Cohen)"
Bob Morton,81,American politician
Boris Gostev,87,"Russian politician, Minister of Finance of the Soviet Union (1985–1989)"
Brad Anderson,91,American cartoonist (Marmaduke)
Bradley M. Glass,84,American politician
Brian Hord,81,"British chartered surveyor and politician, MEP for London West (1979–1984)"
Bud Thomas,86,American baseball player (St. Louis Browns)
Bud Yorkin,89,"American film and television director, producer (All in the Family, Maude, Sanford and Son) and actor"
Buddy Baker,74,"American Hall of Fame NASCAR driver and commentator (CBS Sports), lung cancer"
Butz Aquino,76,"Filipino politician, member of the Senate (1987–1995) and the House of Representatives from Makati's Second District (1998–2007)"
Calle Örnemark,81,Swedish sculptor
Camellia Johnson,61,"American opera singer, heart failure"
Carlos Barrionuevo,37,"Argentine footballer, drowned"
Carlos María Ariz Bolea,86,"Spanish-born Panamanian Roman Catholic prelate, Vicar Apostolic of Darién (1981–1988) and Bishop of Colón-Kuna Yala (1988–2005)"
Carmelo Domênico Recchia,93,"Italian-born Brazilian Roman Catholic prelate, last Territorial Abbot of Claraval (1976–1999)"
Carol Brown Janeway,71,"British-born American editor and translator (The Reader), cancer"
Cees van Kooten,67,"Dutch footballer (Go Ahead Eagles, national team), esophageal cancer"
