Name,Age,Info
Adela Reta,79,Uruguayan lawyer and politician
Al Hibbler,85,American singer (Duke Ellington Orchestra)
Aldo Olivieri,90,Italian football goalkeeper and manager
Alec Stock,84,English footballer and football manager
Aleksandar Obradović,73,Serbian composer and academic
Alfred Horn,83,American mathematician
Alfred M. Moen,84,American inventor and founder of Moen Incorporated
Alfredo Gottardi,86,Brazilian football player
Allan Sloane,86,American writer for radio and television
Amrit Nahata,72,Indian politician and film maker
Andreas Kupfer,86,German football player
André Pascal,69,French songwriter and composer
André du Bouchet,77,French poet
Andy Farkas,84,American footballer
Andy Guest,61,American politician
Andy Phillip,79,American basketball player
António Araújo,77,Portuguese football player
Arthur Cantor,81,American theatrical producer
Avigdor Miller,92,American Haredi rabbi and author
Babu Chiri Sherpa,35,"Nepalese sherpa mountaineer, fall when climbing Mount Everest"
Bako Touré,61,Malian football player
Barend Biesheuvel,81,"Dutch politician, Prime Minister (1971-1973), cardiovascular disease"
Beatrice Straight,86,"American actress (Network, The Crucible, The Nun's Story), Oscar winner (1980), pneumonia"
Behram Contractor,71,Indian journalist and humorist
Benjy Dial,57,American football player
Bert Sutcliffe,77,New Zealand cricketer
Beryl Gilroy,76,"British pioneering teacher and novelist, heart attack"
Big Daddy Kinsey,74,"American Chicago blues singer, guitarist and harmonica player, prostate cancer"
Billy Mitchell,74,American jazz tenor saxophonist
Bo Roberson,65,"American track and field athlete, football player and Olympian"
Bob Sohl,73,American competition swimmer and Olympic medalist
Border Gezi,36,"Zimbabwean politician, traffic collision"
Brendan O'Reilly,71,Irish broadcaster
Brother Theodore,94,German-American actor and comedian
Bryan Ranft,83,British historian
Butch Moore,63,"Irish singer and a showband icon, heart attack"
Carolyn R. Payton,75,American director of the Peace Corps (1977-1978)
Charles Daudelin,80,French-Canadian sculptor and painter
Charles L. Freeman,92,American sound editor and film editor
Charles Pettigrew,37,"American singer, half of R&B duo Charles & Eddie, cancer"
Charlie Applewhite,68,American singer and radio host
Chaudhary Devi Lal,85,Indian politician and Deputy Prime Minister of India
Cino Cinelli,85,Italian racing cyclist
Claude Clark,85,American painter and printmaker
Danica Seleskovitch,79,French interpreter and academic writer
Danny Gaither,62,American gospel singer (Bill Gaither Trio)
David Gilbarg,82,American professor emeritus of mathematics at Stanford University
David Graf,50,"American actor (Police Academy, The West Wing, Rules of Engagement), heart attack"
David Lloyd Owen,83,British army general and writer
David M. Walker,56,"American astronaut, stroke"
Derek Lambert,71,English author
Derek Lang,87,British Army general
Diana Brebner,44,Canadian poet
Donald Dorfman,67,American mathematical psychologist and radiologist
Dorothee Metlitzki,86,"German-American author, professor of English and zionist"
Dubai Millennium,5,"British thoroughbred racehorse, grass sickness"
Ed Roth,69,"American artist, cartoonist, and custom car designer and builder"
Edith Picht-Axenfeld,87,German pianist and harpsichordist
Edmund Malecki,86,German international footballer
Edmund W. Barker,80,"Singaporean politician and lawyer, colon surgery"
Edward Muhl,94,American motion picture executive
Egor Popov,88,Russian-American civil engineer
Electra Waggoner Biggs,88,"American heiress, socialite and sculptor"
Elisabeth Tschermak-Woess,84,Austrian cytologist and phycologist
Elsie Locke,88,"New Zealand writer, historian, and feminist"
Emanuele Clarizio,89,Italian prelate and diplomat of the Catholic Church
Erica Green,3,"American child abuse victim, murdered"
Ernie Graham,54,"Northern Irish singer, guitarist and songwriter"
Eugênio German,70,"Brazilian chess master and Brazilian chess champion (1951, 1972)"
Evelyn Künneke,79,"German singer and actress, lung cancer"
Fadil Hoxha,85,Kosovar politician
Frank Annunzio,86,"American politician, Parkinson's disease"
Frank Stewart,94,American baseball player
François Gelhausen,70,Luxembourgish racing cyclist
G. N. Ramachandran,78,Indian physicist
Gary Gearhart,77,American baseball player
George Bull,71,British journalist and writer
George R. Hill III,79,"American chemist, cancer"
Giacomo Gentilomo,92,Italian film director and painter
Giuseppe Sinopoli,54,"Italian conductor and composer, heart attack"
Gordon Watson,87,English football player
Graciela Naranjo,84,Venezuelan singer and actress
Graziella Sciutti,73,Italian soprano opera singer and producer
Guglielmo Biraghi,73,Italian film critic and film festival director
Guy Butler,83,"South African poet, academic and writer"
Guy Texereau,65,French Olympic long-distance runner
Gwen Frostic,94,"American artist, entrepreneur and author"
Habis al-Majali,87,Jordanian general and politician
