Name,Age,Info
"""Pistol"" Pete Maravich",40,"American basketball player (Atlanta Hawks, New Orleans Jazz), heart failure"
Abdul Ghaffar Khan,97,"Pakistani independence activist, stroke"
Abraham Sofaer,91,"Burmese-born British actor (Victoria Regina, A Matter of Life and Death), heart failure"
Agus Subekti,67,"Indonesian admiral, commander of the Indonesian Marine Corps, Vice Governor of West Irian"
Al Laney,92,American sportswriter
Albert Decaris,86,French artist and Olympic gold medalist
Alfred Easton Poor,88,American architect (James Madison Memorial Building)
Alice Duncan-Kemp,86,Australian writer and indigenous rights activist
Allan Watt Downie,86,Scottish microbiologist (eradication of smallpox)
Amelia Bayntun,68,"English actress (Blitz!, Carry On)"
Andrija Artuković,88,"Croatian lawyer and politician, Minister of Interior of Croatia, convicted war criminal"
Angelo de Mojana di Cologna,82,"Italian Prince and Grand Master of the Sovereign Military Order of Malta, heart attack"
Ann Rork Light,79,"American silent-screen actress, emphysema and lung cancer"
Anthony Courtney,79,"British Royal Navy officer and politician, Member of Parliament"
Anwar Hussain,62,Indian actor and producer
Arthur James Richard Ash,81,"Canadian politician, member of the Legislative Assembly of British Columbia"
Arthur R. M. Lower,98,Canadian historian
Bai T. Moore,71,"Liberian poet and novelist (Murder in the Cassava Patch), heart attack"
Ballard Berkeley,83,English actor (Fawlty Towers)
Bantcho Bantchevsky,81,"Bulgarian-born American singer, suicide"
Belle Baranceanu,85,American artist
Bern Dibner,90,"Ukrainian-born American electrical engineer, industrialist and historian of science and technology"
Bill Crawford-Compton,72,New Zealand flying ace of the Royal Air Force during the World War II
Bill Gibb,44,"Scottish fashion designer, bowel cancer"
Bob Keegan,63,"British actor (Z-Cars, The First Lady), lung cancer"
Boris Kulagin,63,Soviet ice hockey player and coach
"Boyd ""Red"" Morgan",72,American NFL footballer (Washington Redskins) and actor (The Amazing Transparent Man)
Brent Collins,46,"American actor (As the World Turns, Another World), heart attack"
Bridget Boland,74,"British screenwriter (War and Peace, Gaslight), playwright and novelist"
Bruno Prevedi,59,Italian tenor
Bum Day,89,American college footballer (Georgia Bulldogs)
Calum MacLeod,76,Scottish crofter who built Calum's Road on the Island of Raasay
Carl Shipp Marvel,93,American chemist (Polybenzimidazole)
Carlo Hintermann,64,"Italian actor, traffic accident"
Carlos Mauro Hoyos,48,"Colombian jurist and politician, Inspector General of Colombia, assassinated"
Carlos Rangel,58,"Venezuelan writer, journalist and diplomat, suicide"
Cesare Brandi,81,Italian art critic and historian
Charles Glen King,91,"American biochemist (Vitamin C), heart failure"
Charles Phibbs Jones,81,Irish-born general in the British Army
Charlotte Wassef,75,"Egyptian beauty queen, International Pageant of Pulchritude (Miss Universe) winner"
Chauncey Eskridge,70,"American attorney, attorney for Muhammad Ali and Martin Luther King Jr"
Chiang Ching-kuo,77,"Chinese politician, eldest son of Chiang Kai-shek, President of Taiwan, heart attack"
Chin Sophonpanich,77,"Thai entrepreneur, founded Bangkok Bank and Bangkok Insurance"
Clementine Hunter,101,American folk artist
Colleen Moore,88,"American silent-screen actress (Flaming Youth), cancer"
Con O'Neill,75,"British diplomat, ambassador to China and Finland"
Connie Mulder,62,"South African politician and cabinet minister, cancer"
Dada Bhagwan,79,"Indian spiritual leader, founded the Akram Vignan movement"
Dan Daniel,73,"American politician, member of U.S. House of Representatives, heart attack"
David Ahern,40,"Australian composer and music critic, asthma attack"
David Gaines,40,"American environmentalist, founder of the Mono Lake Committee, car accident"
Dick Pope Sr.,87,American founder of Cypress Gardens
Donald Healey,89,"English car designer, rally driver and speed record holder, Monte Carlo Rally winner"
Dora Stratou,84,Greek actress and choreographer
E. B. Ford,86,British ecological geneticist
Eddie Cano,60,"American jazz pianist and composer, heart attack"
Edward Pawley,86,"American actor of radio, films and Broadway (Two Seconds, Elmer Gantry), heart condition"
Edward Weinfeld,86,"American judge of the U.S. District Court, cancer"
Einar Gjerstad,90,Swedish archaeologist (Lund University)
F. D. Washington,75,American Pentecostal minister
Florence Eiseman,88,"American fashion designer, emphysema"
Frank J. Zappala,89,"American politician and lawyer, member of the Pennsylvania House of Representatives, heart failure"
Frank Pace,75,"American politician, Secretary of the Army, heart attack"
